
Conexiones activas

  Proto  Direcci¢n local        Direcci¢n remota       Estado
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:554            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2968           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:10243          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:16720          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:17483          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:28006          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49155          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49156          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49206          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:61772          0.0.0.0:0              LISTENING
  TCP    25.17.36.165:139       0.0.0.0:0              LISTENING
  TCP    25.17.36.165:7676      0.0.0.0:0              LISTENING
  TCP    25.17.36.165:7679      0.0.0.0:0              LISTENING
  TCP    25.17.36.165:30001     0.0.0.0:0              LISTENING
  TCP    127.0.0.1:3214         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:3215         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:3216         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:3217         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5939         127.0.0.1:49492        ESTABLISHED
  TCP    127.0.0.1:6060         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:6061         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:7676         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:7679         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:8088         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:8643         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:8643         127.0.0.1:49162        ESTABLISHED
  TCP    127.0.0.1:8643         127.0.0.1:49197        ESTABLISHED
  TCP    127.0.0.1:8743         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:8743         127.0.0.1:49161        ESTABLISHED
  TCP    127.0.0.1:8743         127.0.0.1:49196        ESTABLISHED
  TCP    127.0.0.1:9990         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:16716        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:16718        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:17483        127.0.0.1:49298        ESTABLISHED
  TCP    127.0.0.1:49157        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49161        127.0.0.1:8743         ESTABLISHED
  TCP    127.0.0.1:49162        127.0.0.1:8643         ESTABLISHED
  TCP    127.0.0.1:49196        127.0.0.1:8743         ESTABLISHED
  TCP    127.0.0.1:49197        127.0.0.1:8643         ESTABLISHED
  TCP    127.0.0.1:49261        127.0.0.1:49262        ESTABLISHED
  TCP    127.0.0.1:49262        127.0.0.1:49261        ESTABLISHED
  TCP    127.0.0.1:49264        127.0.0.1:49265        ESTABLISHED
  TCP    127.0.0.1:49265        127.0.0.1:49264        ESTABLISHED
  TCP    127.0.0.1:49266        127.0.0.1:49267        ESTABLISHED
  TCP    127.0.0.1:49267        127.0.0.1:49266        ESTABLISHED
  TCP    127.0.0.1:49268        127.0.0.1:49269        ESTABLISHED
  TCP    127.0.0.1:49269        127.0.0.1:49268        ESTABLISHED
  TCP    127.0.0.1:49298        127.0.0.1:17483        ESTABLISHED
  TCP    127.0.0.1:49492        127.0.0.1:5939         ESTABLISHED
  TCP    127.0.0.1:50271        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:50281        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:54220        127.0.0.1:6060         TIME_WAIT
  TCP    127.0.0.1:54221        127.0.0.1:16716        TIME_WAIT
  TCP    127.0.0.1:54237        127.0.0.1:16716        TIME_WAIT
  TCP    127.0.0.1:54240        127.0.0.1:16716        TIME_WAIT
  TCP    127.0.0.1:54241        127.0.0.1:6060         TIME_WAIT
  TCP    127.0.0.1:54242        127.0.0.1:16716        TIME_WAIT
  TCP    127.0.0.1:54244        127.0.0.1:6060         TIME_WAIT
  TCP    127.0.0.1:54246        127.0.0.1:16716        TIME_WAIT
  TCP    127.0.0.1:54248        127.0.0.1:16716        TIME_WAIT
  TCP    127.0.0.1:54249        127.0.0.1:16716        TIME_WAIT
  TCP    127.0.0.1:54250        127.0.0.1:6060         TIME_WAIT
  TCP    127.0.0.1:54252        127.0.0.1:16716        TIME_WAIT
  TCP    127.0.0.1:65000        0.0.0.0:0              LISTENING
  TCP    127.231.59.7:1688      127.0.0.1:54235        TIME_WAIT
  TCP    192.168.0.19:139       0.0.0.0:0              LISTENING
  TCP    192.168.0.19:445       192.168.0.11:50544     ESTABLISHED
  TCP    192.168.0.19:445       192.168.0.21:57166     ESTABLISHED
  TCP    192.168.0.19:2869      192.168.0.11:56939     TIME_WAIT
  TCP    192.168.0.19:7676      0.0.0.0:0              LISTENING
  TCP    192.168.0.19:7679      0.0.0.0:0              LISTENING
  TCP    192.168.0.19:49185     54.227.249.159:80      ESTABLISHED
